region_rpm,n,aligned_speed_before_probe_rpm_n,aligned_speed_before_probe_rpm_min,aligned_speed_before_probe_rpm_median,aligned_speed_before_probe_rpm_max,aligned_speed_before_probe_rpm_mean,aligned_speed_before_probe_rpm_sd,Q50_mA_s_n,Q50_mA_s_min,Q50_mA_s_median,Q50_mA_s_max,Q50_mA_s_mean,Q50_mA_s_sd,I20_mA_n,I20_mA_min,I20_mA_median,I20_mA_max,I20_mA_mean,I20_mA_sd,I50_mA_n,I50_mA_min,I50_mA_median,I50_mA_max,I50_mA_mean,I50_mA_sd,aligned_speed_delta_rpm_n,aligned_speed_delta_rpm_min,aligned_speed_delta_rpm_median,aligned_speed_delta_rpm_max,aligned_speed_delta_rpm_mean,aligned_speed_delta_rpm_sd,current_before_probe_aligned_mA_n,current_before_probe_aligned_mA_min,current_before_probe_aligned_mA_median,current_before_probe_aligned_mA_max,current_before_probe_aligned_mA_mean,current_before_probe_aligned_mA_sd
-300,21,21,-272.6600036621094,-250.1699981689453,-227.57000732421875,-247.91380964006697,14.481751782825132,21,4.085742452449462,4.093705001236364,4.09750782382338,4.093529660592121,0.002849750351806714,21,70.47823008849558,70.7372131147541,70.99077142857142,70.72565070053608,0.1531005314262163,21,148.8749411764706,149.18002949852507,149.38165343915344,149.17802938374248,0.11954722910979836,21,103.489990234375,107.98001098632812,112.80998229980469,108.00333186558315,2.6210365503804924,21,-0.23999999463558197,-0.14000000059604645,-0.07000000029802322,-0.15380952116988955,0.0384026281792686
-150,22,22,-137.58999633789062,-91.8900032043457,-76.11000061035156,-98.68545428189364,15.909240445043851,22,4.0864439542826325,4.092222438152427,4.097213642767534,4.092090960591013,0.002745229248448093,22,70.46642857142857,70.71778501366262,70.94571428571427,70.71319369864521,0.15708378919255706,22,148.9965239114918,149.16782381273777,149.30870967741936,149.17249680272013,0.09889435929065588,22,97.05000305175781,102.19499969482422,109.01000213623047,102.82000004161488,3.5883717739646723,22,-0.23999999463558197,-0.10999999940395355,0.0,-0.10499999917704951,0.05234955731754485
0,22,22,-0.20000000298023224,0.0,0.25999999046325684,0.004999999380247159,0.10150064450140482,22,4.093776566002133,4.101794406148823,4.10834514692759,4.101477100345038,0.003985926465026254,22,70.64828080229226,70.99793845885634,71.19474164133737,70.97885666628041,0.17726605065055115,22,149.02825,149.35065983606557,149.54888888888888,149.34487605403476,0.12265639384650626,22,80.94000244140625,84.61000061035156,88.79000091552734,84.25909111716531,1.9742795067587087,22,-0.14000000059604645,0.0,0.14000000059604645,0.00999999994581396,0.06271629236329758
150,22,22,76.13999938964844,94.88999938964844,127.05000305175781,96.83227261629972,13.584505968626896,22,4.0992961387712965,4.1068903786045485,4.1139311985930505,4.10649305435999,0.0030052108872569224,22,70.79605015673981,71.11795973639687,71.41749077490776,71.10069017668363,0.144346616948969,22,149.09056939501778,149.3980261904762,149.57601226993864,149.39571545718684,0.1375802222055666,22,68.08999633789062,70.61000061035156,78.08000183105469,70.86363636363636,2.286573788527349,22,0.05000000074505806,0.1249999962747097,0.23000000417232513,0.12136363712224094,0.04132282425451197
300,20,20,231.1199951171875,267.5500030517578,298.45001220703125,261.8970016479492,21.751603954197474,20,4.095208359116536,4.104240298454158,4.111429760478901,4.103839748894524,0.004589103559002452,20,70.69621546961326,70.92985528992367,71.24089605734767,70.93406682801239,0.1699736321021261,20,149.02211484593838,149.38284647677202,149.6166393442623,149.38394678881065,0.18671434325380207,20,64.67999267578125,67.6300048828125,71.50999450683594,68.03899993896485,2.1995043871252062,20,0.09000000357627869,0.17000000178813934,0.30000001192092896,0.17650000080466272,0.04760307522784577
